         255434 function calls (248113 primitive calls) in 0.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7227    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 threading.py:1016(_bootstrap)
        1    0.000    0.000    0.003    0.003 extras.py:1(<module>)
      172    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
        1    0.000    0.000    0.003    0.003 threading.py:1056(_bootstrap_inner)
        1    0.000    0.000    0.003    0.003 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.003    0.003 md.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      748    0.001    0.000    0.003    0.000 {built-in method builtins.max}
     4123    0.002    0.000    0.003    0.000 _parser.py:256(match)
      586    0.002    0.000    0.003    0.000 _inspect.py:65(getargs)
      848    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
       60    0.000    0.000    0.003    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.003    0.003 core.py:21(where)
      271    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
      271    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.003    0.003 brotli.py:1(<module>)
        2    0.000    0.000    0.003    0.001 models.py:352(prepare)
      191    0.002    0.000    0.003    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.003    0.003 constant.py:1(<module>)
        1    0.000    0.000    0.003    0.003 threading.py:999(run)
        1    0.000    0.000    0.003    0.003 initial_code.py:187(main_async)
        1    0.000    0.000    0.003    0.003 runners.py:160(run)
        1    0.000    0.000    0.003    0.003 base64.py:1(<module>)
       28    0.001    0.000    0.003    0.000 inspect.py:875(cleandoc)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.002    0.002 tasks.py:1(<module>)
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
       36    0.000    0.000    0.002    0.000 getlimits.py:111(_float_to_str)
        1    0.000    0.000    0.002    0.002 _common.py:33(wrapper)
        1    0.000    0.000    0.002    0.002 _common.py:51(files)
        1    0.000    0.000    0.002    0.002 argparse.py:1764(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:469(StrFormatStyle)
      813    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.002    0.002 _common.py:107(from_package)
       84    0.001    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        1    0.000    0.000    0.002    0.002 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _adapters.py:28(get_resource_reader)
      340    0.001    0.000    0.002    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.002    0.002 _adapters.py:149(_native)
      144    0.001    0.000    0.002    0.000 typing.py:1609(__hash__)
        1    0.000    0.000    0.002    0.002 _adapters.py:144(_reader)
       60    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       28    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
     3570    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
        1    0.000    0.000    0.002    0.002 fields.py:1(<module>)
        2    0.000    0.000    0.002    0.001 connection.py:319(request)
        1    0.000    0.000    0.002    0.002 string.py:1(<module>)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        2    0.000    0.000    0.002    0.001 readers.py:1(<module>)
     2463    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      271    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        4    0.000    0.000    0.002    0.001 warnings.py:131(filterwarnings)
       41    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
       29    0.000    0.000    0.002    0.000 typing.py:1047(_generic_class_getitem)
      848    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
      446    0.001    0.000    0.002    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
     2271    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
       98    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
       12    0.000    0.000    0.002    0.000 typing.py:1562(copy_with)
        1    0.000    0.000    0.002    0.002 string.py:69(__init_subclass__)
      848    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
        2    0.000    0.000    0.002    0.001 sessions.py:751(merge_environment_settings)
       32    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      495    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
        1    0.000    0.000    0.002    0.002 twodim_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 cookiejar.py:1246(CookieJar)
        1    0.000    0.000    0.002    0.002 _internal_utils.py:1(<module>)
     1393    0.001    0.000    0.002    0.000 _parser.py:176(append)
        2    0.000    0.000    0.002    0.001 mixins.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
       10    0.000    0.000    0.002    0.000 extras.py:233(__init__)
      430    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
      860    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
      339    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
       10    0.000    0.000    0.002    0.000 extras.py:237(getdoc)
        1    0.000    0.000    0.002    0.002 locks.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
        2    0.000    0.000    0.002    0.001 utils.py:824(get_environ_proxies)
       85    0.000    0.000    0.002    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.002    0.002 _collections.py:1(<module>)
      338    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       18    0.000    0.000    0.002    0.000 arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.002    0.002 runners.py:57(__enter__)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
       10    0.000    0.000    0.002    0.000 argparse.py:1446(add_argument)
     2636    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      123    0.000    0.000    0.002    0.000 typing.py:317(_deduplicate)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 mixins.py:59(NDArrayOperatorsMixin)
        2    0.000    0.000    0.002    0.001 runners.py:131(_lazy_init)
     1354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 timeouts.py:1(<module>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
      848    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1448    0.001    0.000    0.001    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.001    0.001 events.py:821(new_event_loop)
       13    0.000    0.000    0.001    0.000 mixins.py:44(_numeric_methods)
      436    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
     1906    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      323    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
        2    0.000    0.000    0.001    0.001 adapters.py:331(get_connection)
      316    0.001    0.000    0.001    0.000 typing.py:1178(__getattr__)
     1084    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       33    0.000    0.000    0.001    0.000 typing.py:1390(copy_with)
       13    0.001    0.000    0.001    0.000 mixins.py:36(_inplace_binary_method)
        2    0.000    0.000    0.001    0.001 client.py:1320(endheaders)
     1355    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2265(_IPv6Constants)
        2    0.000    0.000    0.001    0.001 client.py:1082(_send_output)
        4    0.000    0.000    0.001    0.000 client.py:1027(send)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
        4    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
       12    0.000    0.000    0.001    0.000 typing.py:740(Optional)
     1715    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       28    0.000    0.000    0.001    0.000 ipaddress.py:2189(__init__)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
     1570    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1868    0.001    0.000    0.001    0.000 typing.py:1599(<genexpr>)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
        2    0.000    0.000    0.001    0.001 models.py:410(prepare_url)
        2    0.000    0.000    0.001    0.001 connection.py:242(connect)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
        2    0.000    0.000    0.001    0.001 connection.py:197(_new_conn)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
        1    0.000    0.000    0.001    0.001 runners.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
     2542    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.001    0.001 utils.py:199(get_netrc_auth)
       13    0.000    0.000    0.001    0.000 typing.py:1548(__getitem__)
        2    0.000    0.000    0.001    0.001 poolmanager.py:357(connection_from_url)
      188    0.000    0.000    0.001    0.000 enum.py:726(__call__)
        4    0.000    0.000    0.001    0.000 ssl.py:399(__new__)
      340    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.001    0.001 connection.py:27(create_connection)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
      552    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     2541    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.001    0.001 utils.py:764(should_bypass_proxies)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      347    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.001    0.001 events.py:714(new_event_loop)
        6    0.000    0.000    0.001    0.000 url.py:369(parse_url)
       23    0.000    0.000    0.001    0.000 overrides.py:177(decorator)
        3    0.000    0.000    0.001    0.000 typing.py:2854(__new__)
        1    0.000    0.000    0.001    0.001 unix_events.py:63(__init__)
        1    0.000    0.000    0.001    0.001 request.py:935(AbstractBasicAuthHandler)
        1    0.000    0.000    0.001    0.001 selector_events.py:59(__init__)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 status_codes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
     1704    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
        9    0.000    0.000    0.001    0.000 typing.py:1822(__new__)
       24    0.000    0.000    0.001    0.000 dtypes.py:66(_add_dtype_helper)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:1(<module>)
       14    0.000    0.000    0.001    0.000 enum.py:513(__prepare__)
        1    0.000    0.000    0.001    0.001 error.py:1(<module>)
      271    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       32    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
  169/145    0.000    0.000    0.001    0.000 typing.py:1573(__hash__)
       26    0.000    0.000    0.001    0.000 core.py:6855(__init__)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
    74/27    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
       10    0.000    0.000    0.001    0.000 argparse.py:2622(_get_formatter)
       12    0.000    0.000    0.001    0.000 structures.py:40(__init__)
        1    0.000    0.000    0.001    0.001 cd.py:1(<module>)
      106    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        2    0.000    0.000    0.001    0.000 client.py:245(parse_headers)
        1    0.000    0.000    0.001    0.001 argparse.py:1(<module>)
    74/27    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6860(getdoc)
        2    0.000    0.000    0.001    0.000 poolmanager.py:277(connection_from_host)
       54    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       15    0.000    0.000    0.001    0.000 __init__.py:199(split)
       10    0.000    0.000    0.001    0.000 argparse.py:164(__init__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
      834    0.001    0.000    0.001    0.000 {built-in method from_bytes}
